"event_id","type","magnitude","lat","lon","date"
"1120484","Flood",,"70.0858","-148.5534","2023-06-07"
"1130577","Thunderstorm Wind","52.0","38.95","-88.62","2023-08-06"
"1130578","Thunderstorm Wind","52.0","38.86","-88.38","2023-08-06"
"1139867","Thunderstorm Wind","50.0","36.87","-76.85","2023-09-09"
"1139869","Thunderstorm Wind","50.0","36.68","-76.77","2023-09-09"
"1130576","Thunderstorm Wind","52.0","38.95","-88.62","2023-08-06"
"1139866","Thunderstorm Wind","50.0","36.89","-76.72","2023-09-09"
"1139838","Hail","1.0","44.65","-90.1","2023-10-24"
"1139839","Hail","0.88","44.69","-89.55","2023-10-24"
"1130574","Thunderstorm Wind","61.0","39.6495","-89.5378","2023-08-06"
